,co2_per_capita,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,other_industry_co2,oil_co2_per_capita
2659,0.905,0.019,0.674,0.02,18.925,0.173
2660,0.807,0.018,0.551,0.024,20.417,0.195
2661,0.762,0.019,0.485,0.026,21.108,0.211
2662,0.787,0.02,0.48,0.029,22.069,0.232
2663,0.812,0.022,0.472,0.033,24.271,0.248
2664,0.867,0.024,0.493,0.036,23.383,0.27
2665,0.922,0.027,0.509,0.039,24.192,0.3
2666,0.915,0.027,0.464,0.041,25.244,0.325
2667,0.986,0.028,0.48,0.044,26.197,0.375
2668,1.093,0.031,0.524,0.049,28.285,0.418
2669,1.257,0.034,0.602,0.049,31.22,0.497
2670,1.344,0.037,0.628,0.051,31.605,0.539
2671,1.389,0.039,0.624,0.053,34.576,0.575
2672,1.459,0.042,0.63,0.059,37.544,0.615
2673,1.453,0.04,0.627,0.065,38.011,0.611
2674,1.493,0.041,0.676,0.07,34.406,0.611
2675,1.556,0.043,0.67,0.074,36.52,0.659
2676,1.625,0.046,0.7,0.078,36.415,0.695
2677,1.666,0.052,0.718,0.084,37.506,0.708
2678,1.702,0.052,0.733,0.094,38.527,0.734
2679,1.668,0.052,0.736,0.106,35.586,0.697
2680,1.625,0.053,0.736,0.112,34.129,0.669
2681,1.648,0.055,0.773,0.104,35.625,0.66
2682,1.68,0.057,0.797,0.104,38.366,0.672
2683,1.744,0.059,0.852,0.131,41.674,0.661
2684,1.81,0.062,0.913,0.143,44.857,0.655
3135,2.989,0.11,0.775,0.501,20.67,1.535
3136,3.459,0.112,0.773,0.532,20.246,1.958
3137,3.133,0.118,0.74,0.558,19.139,1.655
3138,3.172,0.124,0.724,0.59,20.626,1.676
3139,3.222,0.128,0.698,0.613,20.262,1.707
3140,3.179,0.131,0.695,0.601,20.508,1.681
3141,3.223,0.133,0.712,0.621,20.331,1.681
3142,3.229,0.134,0.724,0.645,21.659,1.645
3143,3.096,0.118,0.699,0.63,20.231,1.576
3144,3.199,0.12,0.704,0.682,20.436,1.621
3145,3.332,0.123,0.785,0.689,20.882,1.656
3146,3.329,0.126,0.799,0.694,20.232,1.636
3147,3.359,0.131,0.824,0.733,20.921,1.599
3148,3.467,0.13,0.874,0.782,22.169,1.603
3149,3.563,0.132,0.894,0.835,22.794,1.625
3150,3.593,0.134,0.916,0.866,24.813,1.6
3151,3.634,0.136,0.94,0.922,26.226,1.557
3152,3.653,0.144,0.99,0.939,26.593,1.507
3153,3.681,0.149,0.975,0.986,25.586,1.498
3154,3.632,0.148,0.963,0.97,21.981,1.48
3155,3.8,0.153,1.026,1.032,24.149,1.52
3156,3.881,0.159,1.05,1.102,26.47,1.496
3157,3.995,0.164,1.071,1.119,27.338,1.564
3158,3.936,0.171,1.059,1.103,30.833,1.524
3159,3.96,0.173,1.084,1.169,30.487,1.455
3160,4.026,0.171,1.094,1.197,31.295,1.485
3161,4.043,0.177,1.099,1.213,29.802,1.474
3162,4.115,0.18,1.156,1.22,30.299,1.477
3163,4.135,0.186,1.187,1.234,29.797,1.45
3164,4.127,0.185,1.223,1.223,28.721,1.423
3165,3.901,0.19,1.166,1.201,27.989,1.274
3166,3.994,0.197,1.175,1.234,29.834,1.314
3167,4.017,0.188,1.196,1.202,29.834,1.36
3408,16.316,0.203,8.322,2.021,2.316,5.207
3430,17.888,0.155,8.322,2.996,3.848,5.881
3431,17.276,0.143,7.631,3.023,3.602,5.941
3432,16.747,0.134,7.164,3.015,4.037,5.866
3433,16.85,0.129,7.313,3.002,4.058,5.781
3434,16.956,0.121,7.421,3.056,3.946,5.68
3435,16.822,0.123,7.195,3.068,3.93,5.672
3436,16.628,0.118,6.781,3.141,3.93,5.752
3437,16.398,0.12,6.505,3.181,3.899,5.642
3438,15.453,0.11,6.104,3.252,3.773,5.274
3439,14.915,0.112,5.846,3.092,4.037,5.196
3440,14.985,0.111,5.505,3.19,4.037,5.518
3613,8.096,0.265,2.362,1.541,1.157,3.764
3614,8.48,0.259,2.411,1.612,1.041,4.05
3615,7.686,0.268,1.835,1.597,0.986,3.845
3616,7.677,0.257,1.679,1.647,0.985,3.955
3617,7.696,0.265,1.696,1.721,1.005,3.871
