,population,co2,co2_per_capita,energy_per_capita,cement_co2,coal_co2,oil_co2,gas_co2,flaring_co2,share_global_co2,temperature_change_from_co2,HDI rank,location,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank.1
0,41128772.0,230.757,0.295,676.696,2.537,62.74,139.306,20.225,5.9559999999999995,0.033,0.001,182.0,Afghanistan,0.462,62.9,10.7,2.5,1335.0,2.0,181
1,2842318.0,298.889,1.743,14100.432,26.015,67.911,188.056,16.755,0.151,0.013,0.0,74.0,Albania,0.789,76.8,14.5,10.1,15293.0,7.0,74
2,44903228.0,5076.843,3.927,15252.127,244.075,116.856,1715.419,2248.805,751.692,0.475,0.002,93.0,Algeria,0.745,77.1,15.5,7.0,10978.0,13.0,93
3,79843.0,15.694,4.617,,0.0,0.0,15.694,0.0,0.0,0.001,0.0,35.0,Andorra,0.884,83.6,12.8,11.6,54233.0,-15.0,43
4,35588996.0,678.976,0.452,2791.332,27.122,1.601,329.903,48.349000000000004,272.002,0.043,0.004,150.0,Angola,0.591,61.9,12.2,5.8,5328.0,-11.0,150
5,93772.0,25.441,6.422,29464.332,0.0,0.0,25.441,0.0,0.0,0.002,0.0,54.0,Antigua and Barbuda,0.826,79.2,15.5,10.5,18784.0,18.0,54
6,45510324.0,8814.511,4.238,21994.422,206.62800000000001,548.034,4830.372,3060.498,168.981,0.519,0.011,48.0,Argentina,0.849,76.1,19.0,11.1,22048.0,17.0,47
7,2780472.0,389.733,2.305,17684.547,15.696,44.745,160.379,166.754,2.156,0.017,0.0,76.0,Armenia,0.786,73.4,14.4,11.3,15388.0,4.0,79
9,8939617.0,5635.134,6.878,42685.379,141.676,2755.162,1939.035,756.509,4.822,0.166,0.002,22.0,Austria,0.926,82.4,16.4,12.3,56530.0,-5.0,22
10,10358078.0,2539.712,3.675,18747.918,32.909,0.294,1401.356,1089.863,15.3,0.102,0.001,89.0,Azerbaijan,0.76,73.5,12.7,10.6,15018.0,-7.0,95
11,409989.0,173.185,5.171,35447.574,4.2620000000000005,0.279,168.651,0.0,0.0,0.006,0.0,57.0,Bahamas,0.82,74.4,11.9,12.7,32535.0,-9.0,67
13,171186368.0,1769.943,0.596,2912.048,25.277,130.21,525.075,1089.055,0.32,0.275,0.002,129.0,Bangladesh,0.67,73.7,11.9,7.4,6511.0,2.0,130
14,281646.0,70.082,4.377,23025.998,3.956,0.06,64.054,1.788,0.23399999999999999,0.003,0.0,62.0,Barbados,0.809,77.7,16.5,9.9,14810.0,24.0,63
15,9534956.0,5071.255,6.167,31132.697,85.333,548.127,2998.11,1374.819,10.144,0.158,0.004,69.0,Belarus,0.801,73.2,14.0,12.2,18425.0,5.0,65
16,11655923.0,12734.945,7.688,58395.824,225.917,7547.835,3477.625,1402.596,3.424,0.241,0.006,12.0,Belgium,0.942,82.3,18.9,12.5,53644.0,9.0,13
17,405285.0,20.572,1.789,7437.571,0.0,0.0,20.508,0.053,0.012,0.002,0.0,118.0,Belize,0.7,71.0,12.4,8.8,9242.0,-3.0,115
18,13352864.0,129.515,0.631,2484.818,6.717,2.025,119.441,1.337,0.0,0.023,0.001,173.0,Benin,0.504,60.0,10.3,3.1,3406.0,-14.0,173
19,782457.0,21.283,1.349,27785.357,6.665,5.272,9.339,0.0,0.0,0.003,0.0,125.0,Bhutan,0.681,72.2,13.1,5.8,10625.0,-15.0,125
20,12224114.0,582.518,1.758,7062.148,30.328,0.447,332.279,170.323,49.159,0.058,0.003,120.0,Bolivia,0.698,64.9,15.0,9.8,7988.0,3.0,119
21,3233530.0,1002.251,6.103,23013.498,12.215,792.701,172.015,24.989,0.331,0.053,0.001,80.0,Bosnia and Herzegovina,0.779,75.3,13.3,10.5,16571.0,-3.0,77
22,2630300.0,162.864,2.839,9385.398,0.23800000000000002,95.339,67.291,0.004,0.0,0.02,0.0,114.0,Botswana,0.708,65.9,11.4,10.4,14842.0,-29.0,124
23,215313504.0,17176.783,2.245,17299.75,822.542,2544.488,11773.217,1387.835,472.68,1.301,0.051,89.0,Brazil,0.76,73.4,15.6,8.3,14616.0,0.0,84
25,6781955.0,3916.706,6.804,34175.52,106.801,2191.999,1230.596,347.674,10.459,0.124,0.002,70.0,Bulgaria,0.799,71.5,13.9,11.4,25921.0,-12.0,70
26,22673764.0,80.828,0.263,904.726,8.705,0.003,72.116,0.0,0.0,0.016,0.001,185.0,Burkina Faso,0.438,59.8,8.1,2.3,2037.0,-9.0,185
27,12889583.0,14.544,0.062,293.889,0.009000000000000001,0.757,13.778,0.0,0.0,0.002,0.0,187.0,Burundi,0.42,62.0,10.0,3.3,712.0,5.0,187
28,16767851.0,207.148,1.19,4035.081,33.663,31.991999999999997,141.472,0.0,0.024,0.054,0.001,148.0,Cambodia,0.6,69.9,11.6,5.2,4291.0,0.0,147
29,27914542.0,290.014,0.343,1593.62,21.013,0.273,197.343,16.088,55.306,0.026,0.002,151.0,Cameroon,0.587,61.0,13.4,6.5,3681.0,3.0,152
31,593162.0,15.473,0.959,7249.497,0.074,0.244,15.157,0.0,0.0,0.002,0.0,131.0,Cape Verde,0.661,74.7,11.5,6.1,7601.0,-4.0,132
32,5579148.0,11.801,0.041,286.132,0.0,0.02,11.783,0.0,0.0,0.001,0.0,191.0,Central African Republic,0.387,54.5,7.3,4.0,869.0,0.0,191
33,17723312.0,44.933,0.134,361.161,1.369,0.012,38.29,0.0,5.261,0.006,0.0,189.0,Chad,0.394,53.0,8.2,2.3,1389.0,-6.0,189
